,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Area,Loan_Status,Gender_self_employment
561,LP002813,Female,Yes,1,Graduate,Yes,19484,0.0,600,360.0,Semiurban,Y,Female_Yes
155,LP001536,Male,Yes,3+,Graduate,No,39999,0.0,600,180.0,Semiurban,Y,Male_No
369,LP002191,Male,Yes,0,Graduate,No,19730,5266.0,570,360.0,Rural,N,Male_No
487,LP002547,Male,Yes,1,Graduate,No,18333,0.0,500,360.0,Urban,N,Male_No
604,LP002959,Female,Yes,1,Graduate,No,12000,0.0,496,360.0,Semiurban,Y,Female_No
177,LP001610,Male,Yes,3+,Graduate,No,5516,11300.0,495,360.0,Semiurban,N,Male_No
523,LP002693,Male,Yes,2,Graduate,Yes,7948,7166.0,480,360.0,Rural,Y,Male_Yes
308,LP001996,Male,No,0,Graduate,No,20233,0.0,480,360.0,Rural,N,Male_No
278,LP001907,Male,Yes,0,Graduate,No,14583,0.0,436,360.0,Semiurban,Y,Male_No
525,LP002699,Male,Yes,2,Graduate,Yes,17500,0.0,400,360.0,Rural,Y,Male_Yes
372,LP002201,Male,Yes,2,Graduate,Yes,9323,7873.0,380,300.0,Rural,Y,Male_Yes
325,LP002067,Male,Yes,1,Graduate,Yes,8666,4983.0,376,360.0,Rural,N,Male_Yes
409,LP002317,Male,Yes,3+,Graduate,No,81000,0.0,360,360.0,Rural,N,Male_No
9,LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349,360.0,Semiurban,N,Male_No
536,LP002734,Male,Yes,0,Graduate,No,6133,3906.0,324,360.0,Urban,Y,Male_No
34,LP001100,Male,No,3+,Graduate,No,12500,3000.0,320,360.0,Rural,N,Male_No
21,LP001046,Male,Yes,1,Graduate,No,5955,5625.0,315,360.0,Urban,Y,Male_No
67,LP001233,Male,Yes,1,Graduate,No,10750,0.0,312,360.0,Urban,Y,Male_No
514,LP002652,Male,No,0,Graduate,No,5815,3666.0,311,360.0,Rural,N,Male_No
351,LP002140,Male,No,0,Graduate,No,8750,4167.0,308,360.0,Rural,N,Male_No
258,LP001859,Male,Yes,0,Graduate,No,14683,2100.0,304,360.0,Rural,N,Male_No
324,LP002065,Male,Yes,3+,Graduate,No,15000,0.0,300,360.0,Rural,Y,Male_No
381,LP002229,Male,No,0,Graduate,No,5941,4232.0,296,360.0,Semiurban,Y,Male_No
135,LP001488,Male,Yes,3+,Graduate,No,4000,7750.0,290,360.0,Semiurban,N,Male_No
54,LP001186,Female,Yes,1,Graduate,Yes,11500,0.0,286,360.0,Urban,N,Female_Yes
233,LP001776,Female,No,0,Graduate,No,8333,0.0,280,360.0,Semiurban,Y,Female_No
253,LP001843,Male,Yes,1,Not Graduate,No,2661,7101.0,279,180.0,Semiurban,Y,Male_No
391,LP002262,Male,Yes,3+,Graduate,No,9504,0.0,275,360.0,Rural,Y,Male_No
161,LP001562,Male,Yes,0,Graduate,No,7933,0.0,275,360.0,Urban,N,Male_No
572,LP002855,Male,Yes,2,Graduate,No,16666,0.0,275,360.0,Urban,Y,Male_No
5,LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267,360.0,Urban,Y,Male_Yes
183,LP001637,Male,Yes,1,Graduate,No,33846,0.0,260,360.0,Semiurban,N,Male_No
557,LP002795,Male,Yes,3+,Graduate,Yes,10139,0.0,260,360.0,Semiurban,Y,Male_Yes
594,LP002938,Male,Yes,0,Graduate,Yes,16120,0.0,260,360.0,Urban,Y,Male_Yes
119,LP001422,Female,No,0,Graduate,No,10408,0.0,259,360.0,Urban,Y,Female_No
65,LP001225,Male,Yes,0,Graduate,No,5726,4595.0,258,360.0,Semiurban,N,Male_No
564,LP002832,Male,Yes,2,Graduate,No,8799,0.0,258,360.0,Urban,N,Male_No
159,LP001552,Male,Yes,0,Graduate,No,4583,5625.0,255,360.0,Semiurban,Y,Male_No
255,LP001846,Female,No,3+,Graduate,No,3083,0.0,255,360.0,Rural,Y,Female_No
611,LP002983,Male,Yes,1,Graduate,No,8072,240.0,253,360.0,Urban,Y,Male_No
511,LP002640,Male,Yes,1,Graduate,No,6065,2004.0,250,360.0,Semiurban,Y,Male_No
484,LP002543,Male,Yes,2,Graduate,No,8333,0.0,246,360.0,Semiurban,Y,Male_No
152,LP001531,Male,No,0,Graduate,No,9166,0.0,244,360.0,Urban,N,Male_No
505,LP002622,Male,Yes,2,Graduate,No,3510,4416.0,243,360.0,Rural,Y,Male_No
138,LP001492,Male,No,0,Graduate,No,14999,0.0,242,360.0,Semiurban,N,Male_No
212,LP001713,Male,Yes,1,Graduate,Yes,7787,0.0,240,360.0,Urban,Y,Male_Yes
417,LP002342,Male,Yes,2,Graduate,Yes,1600,20000.0,239,360.0,Urban,N,Male_Yes
361,LP002170,Male,Yes,2,Graduate,No,5000,3667.0,236,360.0,Semiurban,Y,Male_No
483,LP002541,Male,Yes,0,Graduate,No,10833,0.0,234,360.0,Semiurban,Y,Male_No
476,LP002529,Male,Yes,2,Graduate,No,6700,1750.0,230,300.0,Semiurban,Y,Male_No
350,LP002139,Male,Yes,0,Graduate,No,9083,0.0,228,360.0,Semiurban,Y,Male_No
148,LP001519,Female,No,0,Graduate,No,10000,1666.0,225,360.0,Rural,N,Female_No
493,LP002582,Female,No,0,Not Graduate,Yes,17263,0.0,225,360.0,Semiurban,Y,Female_Yes
106,LP001369,Male,Yes,2,Graduate,No,11417,1126.0,225,360.0,Urban,Y,Male_No
412,LP002328,Male,Yes,0,Not Graduate,No,6096,0.0,218,360.0,Rural,N,Male_No
108,LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216,360.0,Urban,N,Male_No
210,LP001708,Female,No,0,Graduate,No,10000,0.0,214,360.0,Semiurban,N,Female_No
562,LP002820,Male,Yes,0,Graduate,No,5923,2054.0,211,360.0,Rural,Y,Male_No
227,LP001758,Male,Yes,2,Graduate,No,6250,1695.0,210,360.0,Semiurban,Y,Male_No
88,LP001289,Male,No,0,Graduate,No,8566,0.0,210,360.0,Urban,Y,Male_No
499,LP002602,Male,No,0,Graduate,No,6283,4416.0,209,360.0,Rural,N,Male_No
502,LP002615,Male,Yes,2,Graduate,No,4865,5624.0,208,360.0,Semiurban,Y,Male_No
276,LP001903,Male,Yes,0,Graduate,No,3993,3274.0,207,360.0,Semiurban,Y,Male_No
